# DELS~J020611.20-025537.8    02:06:11.20 -02:55:37.8     6.00        -25.82
# DELS~J162911.29+240739.6    16:29:11.29 +24:07:39.6     6.476       -26.32
# VDES_J0224-4711         02:24:26.54     -47:11:29.4     6.526       -26.98
         Ref  Ref-Num                              Ref-Name        QSO-Name              IAU-Name            RA           Dec  Redshift  M_1450
  Banados+16      160                      CFHQS~J1429+5447  QSO_J1429+5447  J142952.17+544717.70   14:29:52.17   54:47:17.70    6.1831   -26.1
  Banados+16      161                PSO~J217.9185--07.4120  QSO_J1431-0724  J143140.45-072443.47   14:31:40.45  -07:24:43.47      6.14  -26.35
  Banados+16      162                       SDSS~J1436+5007  QSO_J1436+5007  J143611.74+500707.16   14:36:11.74   50:07:07.16      5.85  -26.56
  Banados+16      163                       HSC~J1440--0107  QSO_J1440+0107  J144001.30+010702.20   14:40:01.30    01:07:02.2      6.13  -22.64
  Banados+16      164                     CFHQS~J1509--1749  QSO_J1509-1749  J150941.78-174926.80   15:09:41.78  -17:49:26.80    6.1225  -27.14
  Banados+16      165                 PSO~J228.6871+21.2388  QSO_J1514+2114  J151444.91+211419.78   15:14:44.91   21:14:19.78      5.92  -26.11
  Banados+16      166                PSO~J231.6576--20.8335  QSO_J1526-2050  J152637.84-205000.66   15:26:37.84  -20:50:00.66    6.5864   -27.2
  Banados+16      167                 PSO~J235.9450+17.0079  QSO_J1543+1700  J154346.82+170028.46   15:43:46.82   17:00:28.46      5.82  -26.53
  Banados+16      168                 PSO~J236.2912+16.6088  QSO_J1545+1636  J154509.90+163631.91   15:45:09.90   16:36:31.91      5.82  -25.89
  Banados+16      169                       SDSS~J1545+6028  QSO_J1545+6028  J154552.09+602823.95   15:45:52.09   60:28:23.95      5.78  -27.65
  Banados+16      170                PSO~J238.8510--06.8976  QSO_J1555-0653  J155524.25-065351.59   15:55:24.25  -06:53:51.59      5.81  -26.04
  Banados+16      171                PSO~J239.7124--07.4026  QSO_J1558-0724  J155850.99-072409.59   15:58:50.99  -07:24:09.59      6.11  -27.46
  Banados+16      172                        DELS~1559+2212  QSO_J1559+2212  J155909.09+221214.43  15:59:09.092  +22:12:14.43      6.07  -25.88
  Banados+16      173                       SDSS~J1602+4228  QSO_J1602+4228  J160253.98+422824.94   16:02:53.98   42:28:24.94      6.09  -26.94
  Banados+16      174    ELAIS1091000446\,\tablenotemark{e}  QSO_J1603+5510  J160349.07+551032.30   16:03:49.07   55:10:32.30      6.04  -22.64
  Banados+16      175                       ULAS~J1609+3041  QSO_J1609+3041  J160937.27+304147.78   16:09:37.27   30:41:47.78      6.16  -26.39
  Banados+16      176                PSO~J242.4397--12.9816  QSO_J1609-1258  J160945.53-125854.11   16:09:45.53  -12:58:54.11      5.83  -26.92
  Banados+16      177                PSO~J245.0636--00.1978  QSO_J1620-0011  J162015.28-001152.30   16:20:15.28  -00:11:52.30      5.68  -25.27
  Banados+16      178                       SDSS~J1621+5155  QSO_J1621+5155  J162100.92+515548.79   16:21:00.92   51:55:48.79      5.71  -27.13
  Banados+16      179                       SDSS~J1623+3112  QSO_J1623+3112  J162331.81+311200.53   16:23:31.81   31:12:00.53      6.26  -26.55
  Banados+16      180                 PSO~J247.2970+24.1277  QSO_J1629+2407  J162911.30+240739.74   16:29:11.30  +24:07:39.74     6.476  -26.59
  Banados+16      181                       SDSS~J1630+4012  QSO_J1630+4012  J163033.90+401209.69   16:30:33.90   40:12:09.69     6.065  -26.19
  Banados+16      182                      CFHQS~J1641+3755  QSO_J1641+3755  J164121.73+375520.15   16:41:21.73   37:55:20.15     6.047  -25.67
  Banados+16      183                 PSO~J261.0364+19.0286  QSO_J1724+1901  J172408.74+190143.12   17:24:08.74  +19:01:43.12      6.44  -25.75
